,ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,IDList,6_Month,12_Month,24_Month,Lifetime
2362,5021538,F,Y,N,1,306000.0,Working,Higher education,Married,House / apartment,-9310,-1678,1,0,0,0,Null,3.0,"[5021538, 5021539, 5021540, 5021541, 5021542, 5021543, 5113211]",1.0,1.0,1.0,0.0
2369,5021544,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20870,-1583,1,0,0,0,Medicine staff,2.0,"[5021544, 5021545, 5021546, 5021547, 5021548, 5021549, 5021550, 5021551, 5021552]",0.0,1.0,1.0,1.0
2378,5021553,F,N,Y,1,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14335,-856,1,0,0,0,Sales staff,3.0,[5021553],0.0,0.0,0.0,0.0
2379,5021554,M,Y,Y,1,202500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-11843,-429,1,0,0,0,Drivers,2.0,[5021554],0.0,0.0,0.0,0.0
2380,5021555,M,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-18188,-578,1,0,0,0,Drivers,2.0,"[5021555, 5021558]",0.0,1.0,1.0,0.0
2382,5021559,M,Y,Y,0,360000.0,Working,Incomplete higher,Married,House / apartment,-9906,-122,1,1,1,0,Sales staff,2.0,"[5021559, 5021560, 5021561, 5021562, 5021563, 5021564, 5021565]",0.0,0.0,1.0,0.0
2391,5021566,F,N,N,0,76500.0,Working,Secondary / secondary special,Married,House / apartment,-15097,-5027,1,0,0,0,Null,2.0,[5021566],1.0,1.0,1.0,1.0
2392,5021568,F,N,Y,2,126000.0,Working,Higher education,Married,House / apartment,-12428,-4900,1,0,1,1,High skill tech staff,4.0,"[5021568, 5021569, 5021570, 5021571]",0.0,1.0,1.0,1.0
2396,5021572,M,N,N,0,270000.0,State servant,Incomplete higher,Married,House / apartment,-9787,-1674,1,0,0,0,Null,2.0,"[5021572, 5021573, 5021574, 5021575, 5021576, 5021577, 5021578, 5021579, 5021580, 5021581]",0.0,0.0,1.0,0.0
2406,5021582,F,N,N,1,40500.0,State servant,Secondary / secondary special,Married,Rented apartment,-13052,-1952,1,0,0,0,Cooking staff,3.0,"[5021582, 5021583, 5021584, 5021585]",0.0,1.0,1.0,0.0
2410,5021586,F,Y,Y,0,247500.0,Working,Incomplete higher,Separated,House / apartment,-19672,-1375,1,1,0,0,Accountants,1.0,"[5021586, 5021587, 5021588, 5021589, 5021590]",1.0,1.0,1.0,0.0
2415,5021591,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21589,365243,1,0,0,0,Null,2.0,[5021591],0.0,0.0,1.0,0.0
2416,5021594,M,Y,Y,1,306000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19201,-1309,1,0,1,0,Managers,3.0,"[5021594, 5021595]",0.0,0.0,0.0,0.0
2418,5021597,F,Y,Y,0,360000.0,Pensioner,Higher education,Married,House / apartment,-21269,365243,1,0,1,0,Null,2.0,"[5021597, 5021608, 5021609, 5021610, 5021611, 5021612, 5021613]",1.0,1.0,1.0,1.0
2425,5021600,F,N,Y,0,225000.0,State servant,Higher education,Married,House / apartment,-19309,-2435,1,0,1,0,Null,2.0,"[5021600, 5021601, 5021602, 5021603, 5021604, 5021605, 5021606, 5021607]",0.0,1.0,1.0,0.0
2433,5021614,M,Y,Y,1,189000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-16893,-1521,1,0,0,0,Sales staff,3.0,[5021614],0.0,0.0,0.0,0.0
2434,5021616,F,Y,Y,0,270000.0,Working,Incomplete higher,Married,House / apartment,-11038,-2408,1,0,0,0,Null,2.0,[5021616],0.0,0.0,1.0,0.0
2435,5021617,F,N,Y,0,99000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-15250,-517,1,0,0,0,Cooking staff,2.0,[5021617],0.0,0.0,0.0,0.0
2436,5021620,F,Y,Y,3,126000.0,Working,Higher education,Married,House / apartment,-15003,-122,1,0,0,0,Managers,5.0,"[5021620, 5021622, 5021623, 5021624]",0.0,1.0,1.0,0.0
2440,5021627,F,Y,Y,0,225000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21918,365243,1,0,0,1,Null,1.0,"[5021627, 5021628, 5021629]",0.0,1.0,1.0,1.0
2444,5021630,M,N,Y,0,157500.0,Working,Higher education,Married,House / apartment,-11701,-3262,1,0,0,0,Null,2.0,"[5021630, 5021632, 5021633, 5021634, 5021637, 5090274]",0.0,0.0,1.0,0.0
2450,5021639,F,N,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-21456,-425,1,0,0,0,Medicine staff,2.0,"[5021639, 5021640, 5021641, 5021642]",1.0,1.0,1.0,1.0
2454,5021643,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-13367,365243,1,0,1,0,Null,2.0,[5021643],0.0,1.0,1.0,1.0
2456,5021644,F,Y,Y,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22831,365243,1,0,0,0,Null,2.0,[5021644],0.0,0.0,0.0,0.0
2457,5021645,F,N,Y,0,292500.0,Working,Higher education,Civil marriage,House / apartment,-12554,-5326,1,0,0,1,Managers,2.0,"[5021645, 5021646, 5021647, 5021648, 5021649, 5021650, 5021651]",1.0,1.0,1.0,1.0
2465,5021652,M,Y,Y,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,-13207,-1401,1,0,0,0,Low-skill Laborers,3.0,"[5021652, 5021653, 5021654, 5021655, 5021656, 5021657, 5021658, 5021659, 5021660, 5021661]",1.0,1.0,1.0,1.0
2475,5021662,M,N,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,-13788,-640,1,1,0,0,Laborers,3.0,"[5021662, 5021663, 5021664, 5021665, 5021668, 5021670, 5021671, 5021673, 5021674, 5021675, 5021676]",0.0,0.0,1.0,0.0
2488,5021678,M,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-18745,-3653,1,0,0,0,Cleaning staff,1.0,"[5021678, 5021679, 5021680, 5021681, 5021682, 5021683, 5021684]",0.0,1.0,1.0,1.0
2496,5021688,M,Y,Y,1,225000.0,Working,Incomplete higher,Married,House / apartment,-13205,-248,1,0,0,0,Managers,3.0,"[5021688, 5021691, 5113091]",0.0,0.0,0.0,0.0
2499,5021693,M,Y,Y,2,337500.0,Working,Incomplete higher,Married,House / apartment,-12418,-1678,1,0,1,0,Laborers,4.0,"[5021693, 5021694, 5021695]",0.0,0.0,0.0,0.0
2502,5021696,F,N,Y,1,180000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-18520,-2101,1,0,1,1,Core staff,2.0,"[5021696, 5021697, 5021698, 5021699, 5021700, 5021701]",0.0,0.0,1.0,0.0
2509,5021702,F,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-15174,-3292,1,1,0,0,Sales staff,3.0,"[5021702, 5021703, 5021704, 5021705, 5021706, 5021707]",1.0,1.0,1.0,1.0
2515,5021708,F,N,Y,2,202500.0,Working,Lower secondary,Married,House / apartment,-13483,-5204,1,0,0,1,Laborers,4.0,"[5021708, 5021709, 5021710, 5021711]",0.0,1.0,1.0,1.0
2520,5021712,F,N,Y,1,243000.0,Working,Higher education,Married,House / apartment,-14295,-5966,1,0,0,1,Core staff,3.0,"[5021712, 5021713, 5021715]",0.0,1.0,1.0,0.0
2523,5021716,F,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17039,-2986,1,0,1,0,Sales staff,2.0,"[5021716, 5021717]",0.0,1.0,1.0,1.0
2525,5021718,F,Y,Y,1,630000.0,Working,Secondary / secondary special,Married,House / apartment,-17755,-401,1,0,0,0,Null,3.0,"[5021718, 5021719, 5021720, 5021721, 5021722, 5021723, 5021724, 5021725, 5021726, 5021727, 5021728]",0.0,0.0,1.0,1.0
2536,5021730,F,Y,Y,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16971,-1375,1,0,0,1,Cleaning staff,3.0,"[5021730, 5021732]",0.0,0.0,0.0,0.0
2538,5021733,F,N,Y,0,135000.0,Commercial associate,Higher education,Widow,House / apartment,-13471,-1797,1,0,0,0,Sales staff,1.0,[5021733],0.0,0.0,0.0,0.0
2539,5021734,F,N,Y,0,189000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-20858,365243,1,0,0,0,Null,1.0,"[5021734, 5021735, 5021737, 5021738, 5021739]",1.0,1.0,1.0,0.0
2544,5021740,F,N,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-10406,-2774,1,0,0,1,Core staff,3.0,"[5021740, 5021741, 5021742, 5021744, 5021745, 5021746, 5021747, 5021748, 5021749, 5021750, 5113118, 5113119]",1.0,1.0,1.0,1.0
2556,5021752,F,N,Y,0,171000.0,Working,Incomplete higher,Married,House / apartment,-11052,-609,1,0,0,0,High skill tech staff,2.0,"[5021752, 5021753, 5021754]",0.0,1.0,1.0,0.0
2559,5021756,F,Y,Y,0,432000.0,Commercial associate,Incomplete higher,Married,House / apartment,-12719,-1218,1,0,1,1,Managers,2.0,[5021756],0.0,0.0,0.0,0.0
2560,5021761,F,N,N,0,112500.0,Commercial associate,Secondary / secondary special,Married,With parents,-16978,-821,1,0,0,0,Null,2.0,"[5021761, 5021762, 5021763, 5021764, 5021765, 5021766, 5021767, 5021768]",0.0,1.0,1.0,0.0
2569,5021769,F,N,Y,1,67500.0,Working,Higher education,Married,House / apartment,-12774,-517,1,0,0,0,High skill tech staff,3.0,[5021769],0.0,0.0,0.0,0.0
2570,5021772,F,N,Y,0,292500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-14522,-1552,1,0,0,0,Laborers,2.0,"[5021772, 5021774, 5021775, 5021776, 5021777, 5021778, 5021779, 5021780, 5021781, 5021782, 5021783]",0.0,0.0,0.0,0.0
2581,5021788,F,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,-15021,-6879,1,0,0,0,High skill tech staff,4.0,"[5021788, 5021789, 5021790, 5021791, 5021792]",0.0,0.0,1.0,0.0
2587,5021793,F,N,Y,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12325,-187,1,0,0,0,Core staff,2.0,"[5021793, 5021794, 5021795, 5021796, 5021797, 5021798, 5021799, 5021800, 5021801, 5021802]",1.0,1.0,1.0,1.0
2597,5021808,M,N,Y,0,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-11009,-366,1,0,0,0,Laborers,1.0,[5021808],0.0,0.0,0.0,0.0
2598,5021809,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-18545,-425,1,0,0,0,Laborers,2.0,[5021809],0.0,0.0,0.0,0.0
2599,5021810,F,Y,Y,1,67500.0,Working,Secondary / secondary special,Married,House / apartment,-11454,-1678,1,0,1,1,Cooking staff,3.0,"[5021810, 5021814, 5021815, 5021816, 5021817, 5021818, 5021819, 5090358, 5113171, 5113172]",0.0,0.0,0.0,0.0
2609,5021822,F,N,Y,0,162000.0,Working,Higher education,Married,House / apartment,-17383,-4692,1,0,0,0,Medicine staff,2.0,[5021822],0.0,0.0,0.0,0.0
2610,5021826,M,N,Y,0,270000.0,Commercial associate,Higher education,Married,House / apartment,-15532,-1587,1,0,0,0,High skill tech staff,2.0,[5021826],0.0,0.0,0.0,0.0
2611,5021827,F,N,Y,0,166500.0,Working,Incomplete higher,Married,House / apartment,-13156,-1917,1,0,0,0,Laborers,2.0,"[5021827, 5021828, 5021829, 5021830, 5021831]",0.0,0.0,1.0,0.0
2616,5021832,F,Y,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11938,-2162,1,0,0,0,Accountants,3.0,"[5021832, 5021833, 5021834, 5021835, 5021836, 5021837]",0.0,0.0,0.0,0.0
2622,5021838,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20359,365243,1,0,0,1,Null,2.0,"[5021838, 5021839, 5021840, 5021841, 5021842, 5021843]",0.0,0.0,0.0,0.0
2629,5021844,F,N,Y,1,90000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-8993,-152,1,1,0,0,Medicine staff,3.0,"[5021844, 5021845, 5021846]",0.0,1.0,1.0,0.0
2632,5021847,F,N,Y,1,135000.0,Working,Secondary / secondary special,Civil marriage,With parents,-10190,-279,1,0,0,0,Null,3.0,"[5021847, 5021848, 5021849, 5021850, 5021851, 5021852, 5021855, 5021856, 5113189]",1.0,1.0,1.0,1.0
2641,5021853,F,N,Y,1,157500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-11961,-2131,1,0,0,0,Sales staff,3.0,[5021853],0.0,0.0,1.0,0.0
2642,5021854,F,N,Y,0,180000.0,Commercial associate,Higher education,Married,House / apartment,-10981,-1766,1,0,0,1,Laborers,2.0,[5021854],0.0,1.0,1.0,1.0
2643,5021857,F,Y,Y,1,315000.0,State servant,Higher education,Widow,House / apartment,-18233,-425,1,0,1,1,Null,2.0,"[5021857, 5021858, 5021861, 5021862, 5021863, 5021865, 5021866, 5021867, 5021868, 5021869, 5021870, 5021871, 5021872]",0.0,0.0,1.0,1.0
2656,5021873,M,Y,N,0,171000.0,Working,Secondary / secondary special,Single / not married,Rented apartment,-9545,-156,1,0,0,0,Laborers,1.0,"[5021873, 5021874]",1.0,1.0,1.0,1.0
2658,5021876,M,N,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-13534,-2557,1,0,0,0,Laborers,4.0,"[5021876, 5021877, 5021878]",0.0,1.0,1.0,0.0
2661,5021879,M,Y,N,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,-13095,-217,1,0,1,0,Laborers,4.0,"[5021879, 5021880, 5021881, 5113190]",1.0,1.0,1.0,1.0
2665,5021882,F,Y,Y,0,135000.0,Commercial associate,Higher education,Married,House / apartment,-16949,-1371,1,0,0,0,Managers,2.0,"[5021882, 5021883, 5021884, 5021886, 5021887, 5021888, 5021889, 5021890, 5021891, 5021892]",0.0,1.0,1.0,0.0
2676,5021895,F,N,Y,0,328500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-20940,365243,1,0,0,0,Null,2.0,"[5021895, 5021898, 5021899, 5021900, 5021901, 5021902, 5021903]",0.0,0.0,0.0,0.0
2683,5021904,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-10328,-1156,1,0,0,0,Laborers,2.0,"[5021904, 5021905, 5021906, 5021907, 5021908, 5021909, 5021910, 5021911, 5021912]",1.0,1.0,1.0,0.0
2692,5021916,M,Y,Y,0,148500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22815,365243,1,0,1,0,Null,2.0,"[5021916, 5021917]",0.0,1.0,1.0,1.0
2694,5021919,F,Y,N,1,76500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-21583,365243,1,0,1,0,Null,3.0,"[5021919, 5021920]",0.0,0.0,0.0,0.0
2696,5021922,F,N,Y,0,135000.0,Working,Higher education,Married,House / apartment,-12952,-1587,1,0,1,0,Core staff,2.0,"[5021922, 5021923, 5021924]",0.0,0.0,1.0,1.0
2699,5021926,F,Y,Y,2,135000.0,Working,Higher education,Separated,House / apartment,-20425,-5453,1,1,1,0,Sales staff,3.0,[5021926],0.0,0.0,0.0,0.0
2700,5021928,F,N,Y,0,67500.0,Pensioner,Higher education,Married,House / apartment,-22212,365243,1,0,0,0,Null,2.0,"[5021928, 5021929, 5021930, 5021931, 5021933, 5021935, 5021936, 5021937, 5021938, 5021939]",1.0,1.0,1.0,0.0
2711,5021940,F,Y,Y,0,445500.0,Commercial associate,Higher education,Married,House / apartment,-12477,-456,1,0,0,0,Managers,2.0,"[5021940, 5021942, 5021943, 5021944, 5021945, 5021946, 5021947, 5021948, 5021949, 5021950, 5021951]",0.0,0.0,0.0,0.0
2722,5021954,F,N,Y,0,67500.0,Working,Secondary / secondary special,Single / not married,With parents,-9130,-2105,1,0,0,0,High skill tech staff,1.0,"[5021954, 5021955, 5021956, 5113218]",0.0,0.0,1.0,0.0
2726,5021958,F,Y,Y,0,76500.0,Working,Higher education,Married,House / apartment,-17743,-4205,1,0,0,0,Null,2.0,"[5021958, 5021959, 5021961, 5021960, 5090393]",1.0,1.0,1.0,1.0
2729,5021964,F,N,N,1,103500.0,Working,Secondary / secondary special,Married,House / apartment,-11720,-1191,1,0,0,0,Sales staff,3.0,"[5021964, 5021965, 5021966, 5021967, 5021968, 5021969, 5021970, 5021972, 5021973, 5021974, 5021975, 5113221]",0.0,1.0,1.0,1.0
2741,5021976,F,N,N,1,180000.0,Working,Secondary / secondary special,Single / not married,Rented apartment,-13100,-2013,1,0,0,1,Null,2.0,"[5021976, 5021977, 5021978, 5021979, 5021980]",1.0,1.0,1.0,0.0
2746,5021981,M,N,Y,0,315000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20282,365243,1,0,0,0,Null,2.0,[5021981],0.0,0.0,0.0,0.0
2747,5021983,M,Y,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,-11177,-4205,1,0,0,0,Laborers,3.0,"[5021983, 5021984, 5021985, 5021986, 5113231]",1.0,1.0,1.0,1.0
2752,5021987,M,Y,Y,0,135000.0,Working,Higher education,Married,House / apartment,-9303,-852,1,0,0,0,Sales staff,2.0,"[5021987, 5021988, 5021989, 5021990, 5021991, 5021992, 5021993, 5021994, 5021995, 5021996]",1.0,1.0,1.0,0.0
2762,5021997,M,N,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18863,-1644,1,0,0,1,Null,2.0,[5021997],0.0,0.0,0.0,0.0
2763,5021999,F,N,Y,0,257625.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-13898,-609,1,0,0,0,Laborers,2.0,[5021999],0.0,0.0,1.0,0.0
2764,5022000,M,N,Y,0,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-20102,-1039,1,0,0,0,Laborers,1.0,"[5022000, 5022001, 5022002, 5113051]",0.0,0.0,0.0,0.0
2768,5022003,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-9952,-1613,1,0,0,0,Null,1.0,"[5022003, 5022004, 5022005, 5022006, 5022007, 5022008, 5022009, 5022010, 5022011, 5022012, 5022013, 5022014, 5022015, 5022016, 5022017, 5022018, 5022019, 5022020, 5022021, 5022022, 5022023, 5022024, 5022025, 5022026, 5022027]",1.0,1.0,1.0,0.0
2796,5022029,M,Y,Y,1,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14868,-3013,1,1,0,1,Security staff,3.0,"[5022029, 5022030, 5022031]",0.0,0.0,1.0,0.0
2800,5022033,M,N,Y,0,143100.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22776,365243,1,0,1,0,Null,2.0,"[5022033, 5022034]",0.0,0.0,0.0,0.0
2802,5022038,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-10049,-1405,1,0,0,1,Sales staff,2.0,"[5022038, 5022039, 5022040, 5022041, 5022042]",0.0,0.0,0.0,0.0
2807,5090394,F,Y,N,1,225000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-11714,-1740,1,0,0,1,Core staff,2.0,"[5090394, 5113069, 5113070, 5022044]",1.0,1.0,1.0,1.0
2810,5022046,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,Office apartment,-14917,-8157,1,1,1,0,Drivers,2.0,"[5022046, 5022047]",0.0,0.0,0.0,0.0
2813,5022048,M,N,Y,0,202500.0,Working,Higher education,Single / not married,House / apartment,-12811,-4327,1,0,0,0,Null,1.0,"[5022048, 5022049, 5022051, 5022052, 5022054]",0.0,0.0,1.0,0.0
2818,5022056,F,N,Y,0,58500.0,Working,Secondary / secondary special,Married,House / apartment,-14731,-4931,1,0,0,1,Laborers,2.0,"[5022056, 5022057, 5022058, 5022059, 5022060]",0.0,0.0,0.0,0.0
2825,5022062,F,N,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,-20135,365243,1,0,1,0,Null,2.0,"[5022062, 5022063, 5022064, 5022065]",0.0,1.0,1.0,0.0
2829,5022066,F,N,Y,0,216000.0,Working,Higher education,Married,With parents,-11445,-3657,1,0,1,0,Core staff,2.0,[5022066],1.0,1.0,1.0,1.0
2830,5022068,F,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-19452,-1218,1,1,0,0,Sales staff,2.0,"[5022068, 5022071, 5022072, 5022073, 5022074, 5022075, 5022076]",0.0,1.0,1.0,0.0
2837,5022077,F,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-19205,-1552,1,1,1,0,Null,2.0,"[5022077, 5022078, 5022079, 5022080, 5022081, 5022082, 5022083, 5022084, 5022085]",0.0,1.0,1.0,0.0
2846,5022086,F,Y,Y,0,202500.0,Commercial associate,Incomplete higher,Married,House / apartment,-15812,-4231,1,1,1,1,Accountants,2.0,"[5022086, 5022087, 5022089, 5022090, 5022092]",1.0,1.0,1.0,1.0
2851,5022093,F,N,Y,0,76500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22204,365243,1,0,1,0,Null,1.0,"[5022093, 5022094, 5022095, 5022097, 5022098, 5022099, 5022100, 5022101]",0.0,0.0,0.0,0.0
2859,5022102,F,N,N,0,94500.0,Working,Secondary / secondary special,Single / not married,Rented apartment,-17836,-2561,1,0,0,0,Security staff,1.0,"[5022102, 5022103]",0.0,0.0,0.0,0.0
2861,5022105,F,N,Y,1,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-18090,-5570,1,1,1,1,High skill tech staff,2.0,"[5022105, 5022107, 5022108, 5022109, 5022111, 5022112]",1.0,1.0,1.0,0.0
2868,5022113,M,Y,Y,1,135000.0,Working,Higher education,Married,House / apartment,-9621,-126,1,0,0,0,Core staff,3.0,"[5022113, 5022114, 5022115]",0.0,1.0,1.0,0.0
2871,5022116,M,N,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,-19686,-1131,1,0,0,0,Laborers,2.0,"[5022116, 5022117, 5022118, 5022119, 5022120, 5022122, 5022123, 5022124, 5090465]",1.0,1.0,1.0,0.0
2880,5022125,F,N,Y,0,135000.0,Commercial associate,Higher education,Civil marriage,House / apartment,-10091,-1525,1,0,0,1,Null,2.0,"[5022125, 5022126, 5022127, 5113120]",0.0,0.0,1.0,0.0
2884,5022128,F,N,Y,0,135000.0,Pensioner,Higher education,Single / not married,House / apartment,-21881,365243,1,0,0,0,Null,1.0,[5022128],0.0,0.0,0.0,0.0
2885,5022130,M,Y,N,2,207000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13297,-762,1,0,0,0,Sales staff,4.0,"[5022130, 5022131, 5022132, 5022133, 5022134]",1.0,1.0,1.0,1.0
2891,5022135,F,N,Y,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20681,365243,1,0,0,0,Null,2.0,"[5022135, 5022136, 5022137, 5022138]",0.0,0.0,0.0,0.0
2895,5022140,F,N,Y,0,207000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19569,-2013,1,0,0,0,Sales staff,1.0,"[5022140, 5022141, 5022142]",0.0,0.0,0.0,0.0
2898,5022143,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-13177,-1678,1,0,0,0,Sales staff,2.0,"[5022143, 5022144, 5022145, 5022146]",1.0,1.0,1.0,0.0
2902,5022147,F,Y,Y,2,180000.0,Commercial associate,Higher education,Married,House / apartment,-11719,-2866,1,0,1,1,Null,4.0,"[5022147, 5022148, 5022149, 5022150, 5022152, 5022153, 5022154, 5022155, 5022156, 5022157, 5022158]",0.0,0.0,1.0,0.0
2913,5022161,F,N,Y,0,288000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-21788,365243,1,0,1,0,Null,1.0,"[5022161, 5113146]",0.0,0.0,0.0,0.0
2915,5022163,F,N,N,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-12044,-2805,1,0,0,0,Sales staff,3.0,"[5022163, 5022164, 5113147]",1.0,1.0,1.0,0.0
2918,5022168,M,N,N,0,45000.0,Working,Lower secondary,Married,House / apartment,-13207,-766,1,0,1,0,Low-skill Laborers,2.0,[5022168],0.0,0.0,0.0,0.0
2919,5022172,F,N,N,0,135000.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-19911,-126,1,0,0,0,Cooking staff,1.0,"[5022172, 5022174, 5022175]",0.0,0.0,0.0,0.0
2922,5022176,F,N,N,1,135000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-15170,-7979,1,0,0,0,High skill tech staff,2.0,"[5022176, 5022177, 5022178, 5022179, 5022180, 5022181, 5022182, 5022183, 5022184, 5022185, 5022186, 5022187, 5022188, 5022189]",1.0,1.0,1.0,1.0
2936,5022190,F,Y,Y,1,94500.0,Working,Secondary / secondary special,Married,House / apartment,-19780,-6849,1,0,0,0,Managers,3.0,"[5022190, 5022192, 5022193, 5022195]",0.0,1.0,1.0,1.0
2940,5022196,M,Y,Y,3,135000.0,Working,Secondary / secondary special,Married,House / apartment,-11945,-735,1,0,0,1,Laborers,5.0,"[5022196, 5022197, 5022198, 5022199]",0.0,0.0,0.0,0.0
2944,5022200,M,Y,N,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19270,-2531,1,1,0,0,Drivers,2.0,"[5022200, 5022201, 5022202]",1.0,1.0,1.0,1.0
2947,5022203,M,N,Y,1,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14143,-275,1,0,1,0,Drivers,3.0,"[5022203, 5022204, 5022206, 5022207, 5022208, 5022210]",0.0,0.0,0.0,0.0
2953,5022211,F,N,Y,0,315000.0,Working,Higher education,Separated,With parents,-12188,-3839,1,0,1,1,Null,1.0,"[5022211, 5113158]",0.0,0.0,0.0,0.0
2955,5022212,M,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19161,-3347,1,1,1,0,Security staff,2.0,"[5022212, 5022213, 5022216, 5022217, 5022218]",0.0,1.0,1.0,1.0
2960,5022219,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23594,365243,1,0,0,0,Null,1.0,"[5022219, 5022220, 5022221, 5022222, 5022223, 5022224, 5022225, 5022226]",1.0,1.0,1.0,0.0
2968,5022227,F,N,Y,1,54000.0,Working,Secondary / secondary special,Married,House / apartment,-15581,-187,1,0,0,0,Null,3.0,"[5022227, 5022228, 5022229, 5022230, 5022231]",0.0,0.0,0.0,0.0
2973,5022235,F,Y,Y,1,180000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-14329,-6180,1,0,0,0,Laborers,2.0,"[5022235, 5022236, 5022237, 5022238, 5022239]",0.0,0.0,0.0,0.0
2979,5022240,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-15231,-8375,1,0,0,1,High skill tech staff,2.0,"[5022240, 5022241, 5022243, 5022244, 5022246, 5022247, 5022248, 5022249, 5022250, 5022251, 5022252, 5022253, 5022254, 5022255, 5022256, 5113174, 5113175]",1.0,1.0,1.0,0.0
2996,5022261,F,N,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-15879,-1740,1,0,0,0,Null,3.0,"[5022261, 5022262]",0.0,1.0,1.0,0.0
